,index,0_x,1,2,3,4,5,6,7,8,latitude,longitude,0_y,0,traveltime_totube,traveltime_totube_pub
81,9030,87336,Laboratory Spa & Health Club,"""1 Hall Lane, London""",NW4 4TJ,522289,190488.0,51.599968,-0.23575,Barnet,51.599968,-0.23575,58,1.1152542143441828,13.276835885049795,13.276835885049795
82,9031,87341,Lambo Bar,"""75 Cricklewood Lane, London""",NW2 1HR,524355,186179.0,51.560789,-0.207463,Barnet,51.560789,-0.207463,142,1.5345692289276338,18.268681296757546,18.268681296757546
83,9032,87394,Lord Kitchener,"""Lord Kitchener, 49 East Barnet Road, Barnet""",EN4 8RN,526630,196142.0,51.64982,-0.171066,Barnet,51.64982,-0.171066,57,1.4961169919003867,17.810916570242696,17.810916570242696
84,9033,87397,Lounge 4:04,"""26 Cricklewood Lane, London""",NW2 1HD,523946,185810.0,51.557564,-0.213488,Barnet,51.557564,-0.213488,296,1.0828454812964137,12.891017634481114,12.891017634481114
85,9034,87401,Lucky 7 - Wine Bar,"""7 Cricklewood Lane, London""",NW2 1ET,523843,185784.0,51.557345,-0.214982,Barnet,51.557345,-0.214982,296,1.0119241268872268,12.046715796276509,12.046715796276509
86,9035,87412,Maccabi London,"""Rowley Lane Sports Ground,  Rowley Lane, Barnet""",EN5 3HW,521494,196521.0,51.654358,-0.245132,Barnet,51.654358,-0.24513200000000002,121,3.536862716466419,42.105508529362126,42.105508529362126
87,9036,87509,Mill Hill Golf Club,"""Mill Hill Golf Club, 100 Barnet Way, London""",NW7 3AL,521007,193656.0,51.628706,-0.253159,Barnet,51.628706,-0.253159,81,2.2496430846994193,26.781465294040704,26.781465294040704
88,9037,87513,Mill Hill Rugby Club,"""Mill Hill Rugby Football Club,  Champions Way, London""",NW7 2EQ,522526,191036.0,51.604841,-0.232139,Barnet,51.604841,-0.23213899999999998,165,1.5542193035976124,18.502610757114432,18.502610757114432
89,9038,87515,Mill Hill Services Club,"""Mill Hill Services Club Ltd, 11 Hartley Avenue, London""",NW7 2HX,521714,192158.0,51.615101,-0.243484,Barnet,51.615101,-0.243484,38,1.9748633860793556,23.510278405706615,23.510278405706615
90,9039,87517,Mill Hill Village Sports Club,"""The Mill Hill Cricket Club,  Burtonhole Lane, London""",NW7 1AS,523547,192816.0,51.620624,-0.216777,Barnet,51.620624,-0.216777,165,1.4525246354866914,17.291959946270136,17.291959946270136
91,9040,87597,North Middlesex Golf Club,"""North Middlesex Golf Club,  Friern Barnet Lane, London""",N20 0NL,527072,193053.0,51.621961,-0.165801,Barnet,51.621961,-0.165801,260,1.2973470957647373,15.444608282913538,15.444608282913538
92,9041,87615,Oak Hill Bowls Club,"""Oak Hill Park,  Parkside Gardens, Barnet""",EN4 8JS,528204,194649.0,51.636047,-0.148874,Barnet,51.636047,-0.148874,231,1.5032899035961074,17.896308376144134,17.896308376144134
93,9042,87628,O'Hanlons PH,"""O'Hanlons, 210 West Hendon Broadway, London""",NW9 7EE,522128,187945.0,51.577149,-0.238972,Barnet,51.577149,-0.238972,119,1.1070616551869326,13.179305418892053,13.179305418892053
94,9043,87631,Old Elizabethans Social Club,"""Old Elizabethans (Barnet) Memorial Playing Field,  Mays Lane, Barnet""",EN5 2AG,522678,194779.0,51.638437,-0.228636,Barnet,51.638436999999996,-0.228636,121,2.7125354448991814,32.29208862975216,32.29208862975216
